#instant eneregy
#100 dsdvt
0 883.234536 
1 885.149661 
2 884.313079 
3 884.919436 
4 886.653184 
5 905.026271 
6 891.766820 
7 884.598348 
8 905.010210 
9 885.061748 
10 891.295403 
11 905.684453 
12 908.753503 
13 889.063430 
14 885.848476 
15 892.114010 
16 884.703688 
17 886.221734 
18 909.640611 
19 888.201412 
20 884.878766 
21 890.186561 
22 884.666804 
23 899.662660 
24 910.566660 
25 884.660263 
26 884.565005 
27 900.873046 
28 902.473819 
29 884.821967 
30 905.002980 
31 884.791409 
32 884.754740 
33 884.867551 
34 884.962530 
35 904.722752 
36 905.765282 
37 904.076967 
38 884.178944 
39 909.782275 
40 886.332391 
41 884.468885 
42 885.110901 
43 911.422586 
44 884.668372 
45 885.195127 
46 906.115419 
47 904.442438 
48 885.075673 
49 884.647674 
50 885.155671 
51 885.192346 
52 884.567067 
53 911.502011 
54 885.038390 
55 884.688205 
56 884.701919 
57 884.690729 
58 909.992776 
59 884.864734 
60 885.294167 
61 884.785838 
62 884.665455 
63 895.475940 
64 884.364154 
65 884.786719 
66 884.985961 
67 912.583692 
68 885.092857 
69 904.951792 
70 884.675444 
71 884.668704 
72 908.567864 
73 884.652956 
74 884.429039 
75 911.860867 
76 912.678540 
77 884.689383 
78 884.657909 
79 884.055749 
80 884.583381 
81 884.656683 
82 913.131747 
83 913.131473 
84 913.131736 
85 916.899027 
86 913.131171 
87 913.131690 
88 913.131736 
89 913.131063 
90 913.131644 
91 913.131690 
92 913.131279 
93 913.131245 
94 913.131456 
95 913.131741 
96 913.131177 
97 913.131496 
98 913.131376 
99 913.131485 
the total Residual energy of the network is 89576.691634 
#100 dsdvu
0 979.467898 
1 979.522482 
2 979.469583 
3 979.478224 
4 979.474226 
5 979.476125 
6 979.479264 
7 979.456433 
8 979.471396 
9 979.476620 
10 979.477452 
11 979.470399 
12 979.469402 
13 979.464822 
14 979.474383 
15 979.476921 
16 979.473396 
17 979.465445 
18 979.478216 
19 979.475771 
20 979.477288 
21 979.464513 
22 979.562665 
23 979.475837 
24 979.475547 
25 979.476636 
26 979.476803 
27 979.474647 
28 979.477605 
29 979.479748 
30 979.475111 
31 979.473116 
32 979.475088 
33 979.641814 
34 979.472722 
35 979.476491 
36 979.478618 
37 979.513612 
38 979.475239 
39 979.471679 
40 979.531072 
41 979.471156 
42 979.476017 
43 979.470831 
44 979.476183 
45 979.470396 
46 979.478080 
47 979.474354 
48 979.472894 
49 979.475754 
the total Residual energy of the network is 48974.089974
#50 dsdvt
0 886.829063 
1 888.536283 
2 888.035611 
3 888.372171 
4 888.325269 
5 908.439628 
6 889.377104 
7 888.319672 
8 908.413678 
9 888.857744 
10 890.528325 
11 906.583315 
12 911.324089 
13 895.725921 
14 888.390273 
15 901.778839 
16 888.333919 
17 888.389668 
18 911.509627 
19 888.730378 
20 888.390591 
21 891.325859 
22 887.320966 
23 907.649548 
24 912.469265 
25 888.383838 
26 888.293334 
27 910.389729 
28 898.700872 
29 887.759223 
30 908.348570 
31 888.371691 
32 888.371801 
33 888.350700 
34 888.426969 
35 908.612164 
36 908.906530 
37 912.534580 
38 887.955434 
39 910.365909 
40 888.441621 
41 888.297543 
42 888.477879 
the total Residual energy of the network is 38510.945193 
#50 dsdvu
0 981.152933 
1 981.173964 
2 981.143735 
3 981.154306 
4 981.151636 
5 981.163062 
6 981.153006 
7 981.143556 
8 981.213102 
9 981.158333 
10 981.154049 
11 981.152411 
12 981.149245 
13 981.153244 
14 981.144738 
15 981.151693 
16 981.153414 
17 981.148773 
18 981.156554 
19 981.153070 
20 981.153802 
21 981.154339 
22 981.153014 
23 981.147765 
24 981.152070 
25 981.147954 
26 981.228852 
27 981.163625 
28 981.178662 
29 981.149608 
30 981.167761 
31 981.147826 
32 981.167350 
33 981.158061 
34 981.151809 
35 981.157796 
36 981.153460 
37 981.148036 
38 981.146665 
39 981.154074 
40 981.150776 
41 981.211652 
42 981.153015 
43 981.149513 
44 981.182135 
45 981.161064 
46 981.164243 
47 981.148691 
48 981.193589 
49 981.151872 
the total Residual energy of the network is 49057.973903
#60 #dsdvt
0 893.046933 
1 894.482823 
2 893.892441 
3 894.202675 
4 894.433247 
5 908.975314 
6 895.727404 
7 894.099096 
8 908.968841 
9 894.325325 
10 895.755679 
11 907.063543 
12 911.553310 
13 896.139280 
14 894.230652 
15 898.476141 
16 894.133856 
17 893.114750 
18 911.822857 
19 895.047506 
20 894.238796 
21 897.976730 
22 894.122339 
23 904.763057 
24 912.224327 
25 894.118899 
26 894.078004 
27 909.950150 
28 899.746312 
29 894.032784 
30 908.579522 
31 894.201602 
32 894.174195 
33 894.185370 
34 894.263141 
35 908.556594 
36 909.599042 
37 912.152349 
38 893.811543 
39 910.613020 
40 894.444707 
41 893.968821 
42 894.331815 
43 912.397866 
44 894.124364 
45 894.402187 
46 909.746026 
47 909.064388 
48 894.348275 
49 894.125028 
50 894.374545 
51 894.501098 
the total Residual energy of the network is 46764.708569
#40 DSDVT
0 912.818173 
1 912.560417 
2 912.422707 
3 912.491966 
4 912.541318 
5 912.631527 
6 914.624034 
7 912.450329 
8 912.630895 
9 912.527649 
10 912.473497 
11 915.331939 
12 912.849552 
13 912.627509 
14 912.460688 
15 912.642529 
16 912.438730 
17 912.629084 
18 912.864021 
19 914.566779 
20 912.476882 
21 916.020748 
22 912.458033 
23 912.575675 
24 912.709050 
25 912.474639 
26 912.401017 
27 912.728918 
28 912.513257 
29 912.468313 
30 912.628264 
31 912.488442 
32 912.486449 
33 912.464503 
34 912.495355
the total Residual energy of the network is 31949.972888 
#80 dsdvt
0 887.704022 
1 889.363844 
2 888.881578 
3 889.101062 
4 889.336596 
5 903.565334 
6 893.674905 
7 888.962505 
8 903.481538 
9 889.299601 
10 894.205563 
11 906.720635 
12 909.963987 
13 893.407648 
14 889.342148 
15 896.621021 
16 888.996892 
17 889.152728 
18 910.839949 
19 890.735843 
20 889.150595 
21 894.898366 
22 887.913137 
23 903.073518 
24 911.653143 
25 888.505022 
26 888.924935 
27 904.294007 
28 900.528646 
29 889.071963 
30 903.160969 
31 889.082948 
32 889.048559 
33 889.247813 
34 889.204025 
35 902.905312 
36 906.822037 
37 908.258839 
38 888.589532 
39 910.693094 
40 889.384522 
41 888.832451 
42 889.285828 
43 912.158214 
44 889.021798 
45 889.389431 
46 908.740511 
47 903.695462 
48 889.316275 
49 888.999310 
50 889.358025 
51 889.416518 
52 888.934413 
53 912.204184 
54 889.273751 
55 889.005941 
56 889.005962 
57 889.001586 
58 909.845811 
59 889.136249 
60 889.443200 
61 889.073235 
62 888.986633 
63 898.826492 
64 888.863638 
65 889.070071 
66 888.985690 
the total Residual energy of the network is 59945.639060 
#20 dsdvt
0 914.430724 
1 914.977607 
2 914.595752 
3 914.396918 
4 916.307547 
5 914.669513 
6 914.460578 
7 914.607017 
8 914.669302 
9 914.408990 
10 914.616884 
11 947.051046 
12 915.276270 
13 914.451679 
14 914.397880 
15 914.688221 
16 914.961817 
the total Residual energy of the network is 15582.967745
