#instant throu
#100 dsdvt
13.954378 0.045891 
19.004508 0.095047 
24.127842 0.124919 
25.161850 294.620286 
26.189189 336.403168 
27.199536 327.649814 
28.209206 354.016737 
29.215149 363.281036 
30.221188 365.632044 
31.253461 356.804723 
32.258833 364.442029 
33.265198 365.990512 
34.277928 369.693978 
35.279877 359.139873 
36.301716 275.112020 
37.320823 343.830195 
38.330301 347.902763 
39.332529 330.783105 
40.332950 357.769071 
41.333334 352.185021 
42.334445 326.517032 
43.349673 394.788435 
44.362164 366.936505 
45.371783 348.012575 
46.428835 332.395871 
47.437149 348.462983 
48.483209 297.497314 
49.527759 316.461496 
50.529986 352.974082 
57.771884 25.120485 
58.778625 337.246879 
59.783689 336.376393 
60.787797 303.871596 
61.792593 328.027033 
62.795837 329.969583 
63.800119 339.506235 
64.803212 332.411602 
65.807932 356.238522 
79.256822 9.541309 
80.271402 352.303186 
81.282308 327.468833 
82.292094 311.511370 
83.301118 344.887887
#100 dsdvu
1.015094 0.666773 
2.016246 38.515644 
3.021385 28.748248 
4.022715 31.542075 
5.030985 20.661125 
6.035084 20.746952 
7.036918 21.464629 
8.037280 22.167993 
9.040622 19.423085 
10.041596 20.811736 
11.043547 19.450051 
12.054317 18.773808 
13.111304 37.631483 
14.135789 66.062433 
15.136428 55.228714 
16.137879 38.919547 
17.139013 36.918139 
18.143234 42.158036 
19.148344 38.109271 
20.149017 38.278240 
#50 dsdvt
13.899043 0.046141 
14.913557 343.494339 
15.918911 363.493945 
16.921156 359.033949 
17.924048 355.930573 
18.933563 371.822041 
19.934746 365.008363 
20.936352 365.812360 
21.937548 366.921156 
22.948297 349.523156 
23.952905 378.256864 
24.953943 349.077629 
25.963298 337.324377 
26.964686 331.539746 
27.967819 355.845368 
28.984586 362.718056 
29.993645 385.943677 
31.000298 363.501717 
32.003161 359.770017 
33.004963 367.178511 
34.006485 356.896739 
35.019920 371.331177 
36.023494 371.153297 
37.058564 338.528021 
38.080543 342.394469 
39.117933 325.586315 
40.118498 378.826056 
41.120554 337.865171 
42.136832 355.020898 
43.150335 413.141474 
44.177750 350.238322 
45.177995 376.227729 
46.526465 151.401248 
47.538571 342.889057 
48.552699 327.847982 
49.552850 388.901351 
50.553683 315.736920 
64.091205 13.130911
#50 dsdvu
1.015154 2.001602 
2.015494 22.936210 
3.016095 18.804697 
4.017507 16.776315 
5.017696 14.781209 
6.019163 12.078276 
7.020903 10.062496 
8.020927 11.423718 
9.024967 10.708745 
10.025238 7.389993 
11.028988 12.720300 
12.032737 7.683193 
13.042265 30.430087 
14.043536 19.591092 
15.047627 27.567225 
16.047923 20.154034 
17.049468 22.141789 
18.056519 18.684253 
19.058160 19.456075 
20.059866 22.138237
#60 dsdtv
13.995877 0.045807 
19.004167 0.095841 
23.820158 0.132891 
24.827857 344.864906 
25.832042 338.104987 
26.841668 351.655054 
27.853596 332.830153 
28.860625 361.935958 
29.860986 366.267553 
30.861082 349.406572 
31.862607 365.842239 
32.875288 354.385999 
33.888885 355.012929 
34.905890 376.949810 
35.934187 341.691206 
36.954066 370.867350 
37.958977 369.704482 
38.980714 335.585410 
39.984526 353.213492 
40.985883 366.382742 
41.987416 367.756491 
43.001477 346.014748 
44.010957 367.238348 
45.030079 360.938206 
46.040500 364.996393 
47.058831 360.747005 
48.059674 329.802004 
49.064829 343.350022 
50.083561 318.513645 
51.157234 314.434625 
62.430734 0.752206 
#80 dsdvt
14.092493 0.045486 
24.110695 0.063884 
25.140550 344.281383 
26.162063 325.008278 
27.165881 331.693542 
28.209228 352.097603 
29.217966 370.681150 
30.231936 363.718791 
31.243434 369.669449 
32.246941 366.554516 
33.258133 359.970999 
34.259583 375.295869 
35.264883 357.943018 
36.272651 303.244483 
37.282285 328.356511 
38.294680 332.518583 
39.299299 349.744466 
40.302549 364.256173 
41.311017 370.780325 
42.322201 361.398128 
43.345253 351.731763 
44.351494 364.127369 
45.353616 358.599192 
46.359459 375.088332 
47.360358 338.735487 
48.373074 340.786339 
49.377772 341.754726 
50.385407 331.866021 
51.855068 225.793566 
53.755108 4.463064 
57.555408 2.231403 
58.557498 338.811948 
59.563234 311.334354 
60.569050 357.281905 
61.583605 331.810583 
62.591768 339.151603 
63.591798 357.429132 
64.605470 361.458134 
77.102434 5.505337

